Category,Priority,File,Line,Link_Text,Target,Status,Impact
other,low,README_SYSTEMS.md,193,Hooks System Architecture,scripts/hooks-system.md,BROKEN,Navigation disruption in other system
other,low,DRY_IMPLEMENTATION_REPORT.md,102,shared ValidationEngine,../shared/ValidationEngine.md,BROKEN,Navigation disruption in other system
other,low,DRY_IMPLEMENTATION_REPORT.md,104,ValidationEngine.md,../shared/ValidationEngine.md,BROKEN,Navigation disruption in other system
other,low,DRY_IMPLEMENTATION_REPORT.md,123,shared EnhancedTemplate,../shared/EnhancedTemplate.md,BROKEN,Navigation disruption in other system
other,low,DRY_IMPLEMENTATION_REPORT.md,125,EnhancedTemplate.md,../shared/EnhancedTemplate.md,BROKEN,Navigation disruption in other system
workflow,low,DRY_IMPLEMENTATION_REPORT.md,144,shared WorkflowPhases,../shared/WorkflowPhases.md,BROKEN,Navigation disruption in workflow system
workflow,low,DRY_IMPLEMENTATION_REPORT.md,146,WorkflowPhases.md,../shared/WorkflowPhases.md,BROKEN,Navigation disruption in workflow system
other,low,DRY_IMPLEMENTATION_REPORT.md,165,shared AgentManager,../shared/AgentManager.md,BROKEN,Navigation disruption in other system
other,low,DRY_IMPLEMENTATION_REPORT.md,167,AgentManager.md,../shared/AgentManager.md,BROKEN,Navigation disruption in other system
other,low,DRY_IMPLEMENTATION_REPORT.md,186,shared DocumentationEngine,../shared/DocumentationEngine.md,BROKEN,Navigation disruption in other system
command,critical,CLAUDE.md,164,commands/analysis/system-audit.md,commands/analysis/system-audit.md,BROKEN,Navigation disruption in command system
command,critical,CLAUDE.md,168,commands/analysis/modularize.md,commands/analysis/modularize.md,BROKEN,Navigation disruption in command system
navigation,high,tickets/pending/nav-003-link-updater-script.md,18,automation.md,../../docs/principles/automation.md,BROKEN,Navigation disruption in navigation system
navigation,high,tickets/pending/nav-003-link-updater-script.md,357,Apply automation.md systematic automation,../../docs/principles/automation.md,BROKEN,Navigation disruption in navigation system
navigation,high,tickets/pending/nav-004-breadcrumb-generator-script.md,18,navigation.md,../../docs/principles/navigation.md,BROKEN,Navigation disruption in navigation system
navigation,high,tickets/pending/nav-004-breadcrumb-generator-script.md,378,Follow navigation.md wayfinding patterns,../../docs/principles/navigation.md,BROKEN,Navigation disruption in navigation system
navigation,high,tickets/pending/nav-005-registry-validator-script.md,18,registry.md,../../docs/principles/registry.md,BROKEN,Navigation disruption in navigation system
other,low,tickets/pending/nav-005-registry-validator-script.md,144,.*\,.*\.md,BROKEN,Navigation disruption in other system
navigation,high,tickets/pending/nav-005-registry-validator-script.md,393,Follow registry.md integrity standards,../../docs/principles/registry.md,BROKEN,Navigation disruption in navigation system
navigation,high,tickets/pending/nav-002-link-scanner-script.md,18,automation.md,../../docs/principles/automation.md,BROKEN,Navigation disruption in navigation system
other,low,tickets/pending/nav-002-link-scanner-script.md,75,text,target.md,BROKEN,Navigation disruption in other system
other,low,tickets/pending/nav-002-link-scanner-script.md,76,.*\,.*\.md,BROKEN,Navigation disruption in other system
navigation,high,tickets/pending/nav-002-link-scanner-script.md,281,Apply automation.md systematic automation,../../docs/principles/automation.md,BROKEN,Navigation disruption in navigation system
navigation,high,tickets/pending/nav-006-workflow-fixer-script.md,18,documentation.md,../../docs/principles/documentation.md,BROKEN,Navigation disruption in navigation system
workflow,low,tickets/pending/nav-006-workflow-fixer-script.md,98,.*\,.*workflow.*\.md,BROKEN,Navigation disruption in workflow system
other,low,tickets/pending/nav-006-workflow-fixer-script.md,99,.*\,.*methodology.*\.md,BROKEN,Navigation disruption in other system
workflow,low,tickets/pending/nav-006-workflow-fixer-script.md,100,.*\,.*phase.*\.md,BROKEN,Navigation disruption in workflow system
other,low,tickets/pending/nav-006-workflow-fixer-script.md,101,.*\,.*process.*\.md,BROKEN,Navigation disruption in other system
navigation,high,tickets/pending/nav-006-workflow-fixer-script.md,396,Follow documentation.md coherence standards,../../docs/principles/documentation.md,BROKEN,Navigation disruption in navigation system
navigation,high,tickets/pending/nav-008-automated-link-maintenance-principle.md,18,automation.md,../../docs/principles/automation.md,BROKEN,Navigation disruption in navigation system
other,low,tickets/pending/nav-008-automated-link-maintenance-principle.md,159,directive.md,directive.md,BROKEN,Navigation disruption in other system
workflow,low,tickets/pending/nav-008-automated-link-maintenance-principle.md,160,workflow.md,workflow.md,BROKEN,Navigation disruption in workflow system
other,low,tickets/pending/nav-008-automated-link-maintenance-principle.md,161,automation.md,automation.md,BROKEN,Navigation disruption in other system
other,low,tickets/pending/nav-008-automated-link-maintenance-principle.md,162,organization.md,organization.md,BROKEN,Navigation disruption in other system
other,low,tickets/pending/nav-008-automated-link-maintenance-principle.md,163,engineering.md,engineering.md,BROKEN,Navigation disruption in other system
other,low,tickets/pending/nav-008-automated-link-maintenance-principle.md,164,content-deduplication.md,content-deduplication.md,BROKEN,Navigation disruption in other system
navigation,high,tickets/pending/nav-008-automated-link-maintenance-principle.md,393,Apply automation.md systematic automation,../../docs/principles/automation.md,BROKEN,Navigation disruption in navigation system
other,low,tickets/pending/nav-001-comprehensive-link-audit.md,76,.*\,.*\.md,BROKEN,Navigation disruption in other system
other,low,tickets/pending/nav-001-comprehensive-link-audit.md,92,text,target.md,BROKEN,Navigation disruption in other system
navigation,high,tickets/pending/nav-007-integrity-monitor-system.md,18,monitoring.md,../../docs/principles/monitoring.md,BROKEN,Navigation disruption in navigation system
navigation,high,tickets/pending/nav-007-integrity-monitor-system.md,18,automation.md,../../docs/principles/automation.md,BROKEN,Navigation disruption in navigation system
navigation,high,tickets/pending/nav-007-integrity-monitor-system.md,451,Apply monitoring.md continuous oversight,../../docs/principles/monitoring.md,BROKEN,Navigation disruption in navigation system
navigation,high,tickets/pending/nav-007-integrity-monitor-system.md,452,Follow automation.md proactive maintenance,../../docs/principles/automation.md,BROKEN,Navigation disruption in navigation system
command,high,agents/README.md,17,Next: Browse commands,../docs/commands/index.md,BROKEN,Navigation disruption in command system
other,low,agents/README.md,111,infrastructure-architect.md,development/architecture/infrastructure-architect.md,BROKEN,Navigation disruption in other system
other,low,agents/README.md,115,performance-optimizer.md,development/quality/performance-optimizer.md,BROKEN,Navigation disruption in other system
workflow,low,agents/README.md,120,migration-specialist.md,development/workflow/migration-specialist.md,BROKEN,Navigation disruption in workflow system
other,low,agents/README.md,129,deployment-coordinator.md,operations/infrastructure/deployment-coordinator.md,BROKEN,Navigation disruption in other system
other,low,agents/README.md,133,metrics-analyst.md,operations/monitoring/metrics-analyst.md,BROKEN,Navigation disruption in other system
